kohkôsiwiyin+N+IN+Sg	kohkôsiwiyin

mahkahk+N+IN+Sg	mahkahk

sîsîp-wâwi+N+IN+Sg	sîsîp-wâwi

wayasit+N+IN+Sg	wayasit

têhtapiwin+N+IN+Sg	têhtapiwin

mîcisowikamik+N+IN+Sg	mîcisow'kamik
mîcisowikamik+N+IN+Sg	mîcisowikamik

sôniyâwikamik+N+IN+Sg	sôniyâw'kamik
sôniyâwikamik+N+IN+Sg	sôniyâwikamik

mîcimâpoy+N+IN+Sg	mîcimâpoy

wâwi+N+IN+Sg	wâwi

askipwâwi+N+IN+Sg	askipwâwi

mêskanaw+N+IN+Sg	mêskanaw

maskisin+N+IN+Sg	maskisin

môhkomân+N+IN+Sg	môhkomân

wiyâs+N+IN+Sg	wiyâs

tohtôsâpoy+N+IN+Sg	tohtôsâpoy

nipiy+N+IN+Sg	nipiy

maskihkîwâpoy+N+IN+Sg	maskihkîwâpoy

sîwîhtâkan+N+IN+Sg	sîwîhtâkan

papêskomina+N+IN+Sg	papêskomina

tohtôsâpôwipimiy+N+IN+Sg	tôhtôsâpôwipimiy

cîscahikanis+N+IN+Sg	cîscahikanis

wiyâkan+N+IN+Sg	wiyâkan

minihkwâcikanis+N+IN+Sg	minihkwâcikanis

masinahikan+N+IN+Sg	masinahikan

wâskahikan+N+IN+Sg	wâskahikan

wîkiwin+N+IN+Sg	wîkiwin

misit+N+IN+Sg	misit

mistikwân+N+IN+Sg	mistikwân

mîscakâs+N+IN+Sg	mîscakâs

miskât+N+IN+Sg	miskât

mitôn+N+IN+Sg	mitôn

miskîsik+N+IN+Sg	miskîsik

mikot+N+IN+Sg	mikot

mihtawakay+N+IN+Sg	mihtawakay

miyaw+N+IN+Sg	miyaw

sakâw+N+IN+Sg	sakâw

ôcênâs+N+IN+Sg	ôcênâs

mistikowat+N+IN+Sg	mistikowat

iskwâhtêm+N+IN+Sg	iskwâhtêm

iskotêw+N+IN+Sg	iskotêw

iskocês+N+IN+Sg	iskocês

miskan+N+IN+Sg	miskan

wiyâkanis+N+IN+Sg	wiyâkanis

kîkisepâ+N+IN+Sg	kîkisepâ

ôsi+N+IN+Sg	ôsi

atâwêwikamik+N+IN+Sg	atâwêwikamik

ôtênaw+N+IN+Sg	ôtênaw

ocenâsis+N+IN+Sg	ocenâsis

mîkiwâhp+N+IN+Sg	mîkiwâhp

maniway+N+IN+Sg	maniway

mîpit+N+IN+Sg	mîpit

mahkwan+N+IN+Sg	mahkwan

mispiton+N+IN+Sg	mispiton

micihciy+N+IN+Sg	micihciy

mihkwâkan+N+IN+Sg	mihkwâkan

akihtâson+N+IN+Sg	akihtâson

apasoyâhtik+N+IN+Sg	apasoyâhtik

