NI-object,waskwayiwat
NI-object,sinikohtakinikan
NI-object,kâsîhkwêwiyâkan
NI-object,napakihtak
NI-place,ascikêwikamik
NI-place,piskihcikamikos
NI-object,napakihtak
NI-place,pahkêkino-mîkiwâhp
NI-object,mistikwaskisinis
NI-object,ôma
NI-hunt-trap,osêskicês
NI-nominal,nawacîwin
NI-religious,wawiyatâcimowinis
NI-body-part,cîpotôn
NI-animal-product,kwâskwâskotihpêw
NI-alter,kaskitêwatisikan
NI-scent,wîhkimâsikan
NI-place,misi-wâti
NI-natural-force,pîstêw
NI-persons,mihkokwayawêw
NI-days,manitowi-kîsikâw
NI-object,kîskatawêhamân
NI-natural-force,pîmahôpakos
NI-nature-plants,iskwâhcêmâpiskos
NI-hunt-trap,omôtay
NI-nominal,ihkahipêwin
NI-religious,konita-âcimowinis
NI-body-part,mahkistikwân
NI-animal-product,omikiy
NI-alter,kaskitêwâskitêw
NI-scent,miyâhkohkasikan
NI-place,simâkanisihkân-askiy
NI-natural-force,tahkikamâpoy
NI-persons,owiyasiwêwikimâw
NI-days,tipahipîsimwân
NI-object,masinisâwâcikan
NI-natural-force,mihkokwaniy
NI-nature-plants,wâsaskotênikanâpisk
NI-hunt-trap,mîhcikêw
NI-nominal,nêhiyâwiwin
NI-religious,kiyâskiwinis
NI-body-part,yêhyêhpamânis
NI-animal-product,atâmiyawa
NI-alter,papakiwayânikamikwêkin
NI-scent,wîhkimâkohon
NI-place,ayahtokamik
NI-natural-force,kisâkamicêwâpôs
NI-persons,okitahamâkêw
NI-days,cipahikanis
NI-object,kispison
NI-natural-force,astâskamikwa
NI-nature-plants,wâsaskocêpayîs
NI-hunt-trap,pîhtokahân
NI-nominal,kîskimâskaciwin
NI-religious,mâmitonêyihcikan
NI-body-part,kipahipânis
NI-animal-product,omâw
NI-alter,itasinâson
NI-scent,miyâkohon
NI-place,môniyâwi-mêskanaw
NI-natural-force,nipiy
NI-days,ayamihêwi-kîsikâw
NI-object,okimâwastotin
NI-natural-force,wâwâkaskosiy
NI-nature-plants,wâsaskotênikan
NI-hunt-trap,askonân
NI-nominal,kîskihkasowin
NI-religious,okakiyâskiwâcimon
NI-body-part,wanaskocihcân
NI-animal-product,wînâstakay
NI-alter,atisikan
NI-place,wâsêkamâw
NI-natural-force,kôniwâpoy
NI-object,kihci-okimâw-astotin
NI-natural-force,cîscêkahikanis
NI-nature-plants,acoskêwinis
NI-hunt-trap,masko-tâpakwân
NI-nominal,mâhamowin
NI-religious,nikamon
NI-body-part,paskostikwân
NI-animal-product,pîkiskwêyâpîsa
NI-alter,wâpiskihkwêhon
NI-place,wâsâw
NI-natural-force,twâhipân
NI-object,sihkosiwayâninêsâkay
NI-natural-force,cîstêkahikanâhtik
NI-nature-plants,kaskamocihkasikan
NI-hunt-trap,wanihikêskanaw
NI-nominal,pôsihtâsowin
NI-religious,wînitôn2
NI-body-part,iyiniwistikwân
NI-animal-product,okwâskwâskotêpêw
NI-alter,masinahikanâpoy
NI-place,tawatahikan
NI-natural-force,nipîwêpicikan
NI-object,sihkosiwayânasâkay
NI-natural-force,cîstêkahikan
NI-nature-plants,sîkopwâtinikan
NI-hunt-trap,pisiwâhtik
NI-nominal,cikâstêsimowin
NI-religious,kitimâki-mâmitonêyihcikan
NI-body-part,kinocihcîs
NI-animal-product,papakâhtikwân
NI-alter,mihkotonêhon
NI-place,wiyâsikamik
NI-natural-force,mônahipân
NI-object,apisimôsoso-pahkêkinos
NI-natural-force,mihkomina
NI-nature-plants,wêpinikêwi-mahkahk
NI-hunt-trap,nakwâkan
NI-nominal,tahkaciwin
NI-religious,maci-mâmitonêyihcikan
NI-body-part,yiyîkicihcân
NI-animal-product,têyistikwânêwi-maskihkiy
NI-alter,pihkwâpoy
NI-place,môhkocikêwikamik
NI-natural-force,ihkatawâwipêyâw
NI-object,akoskiwasikan
NI-natural-force,miskîsikomina
NI-nature-plants,manahikan
NI-hunt-trap,mîcimîhkâcikan
NI-nominal,ayamihêwisîhtwâwin
NI-religious,maci-manitowêyihcikan
NI-body-part,namahtinisk
NI-animal-product,nipêwâpoy
NI-alter,pihkohtêwâpoy
NI-place,mistiko-nâpêwikamik
NI-natural-force,kîkwâpoy
NI-object,sôhkâhtik
NI-natural-force,mihkospwâkan
NI-nature-plants,manahikâkan
NI-hunt-trap,osikwanâs
NI-nominal,otakikomiwin
NI-religious,ohcikawâpoy
NI-body-part,iskwêsicânis
NI-animal-product,wâyisitân
NI-alter,sôpêkahikan
NI-place,wiyasiwêwikamik
NI-natural-force,kimiwan
NI-object,napakâhtik
NI-natural-force,mihkwâpêmak
NI-nature-plants,sikiwikamik
NI-hunt-trap,mistiko-wanihikan
NI-nominal,kawaciwin
NI-religious,miywâsin
NI-body-part,apisimôsoso-oskan
NI-animal-product,paskê-cakisîs
NI-alter,sisopêkahikan
NI-place,miyimâwahcâw
NI-natural-force,kimiwanâpoy
NI-object,sîhtawihikan
NI-natural-force,mihkwâpêmakwa
NI-nature-plants,aspisimon
NI-hunt-trap,kâsôhikan
NI-nominal,asinîwipayihcikêwin
NI-religious,maci-manitowi-mihko
NI-body-part,misisitân
NI-animal-product,nêhiyaw-mihko
NI-alter,masinipêhikan
NI-place,manâwânis
NI-natural-force,pikwâwanipiy
NI-object,misiwêyêkin
NI-natural-force,owâhkicân
NI-nature-plants,kisîpêkinikêwikamik
NI-hunt-trap,mîcimîhkâcikêwân
NI-nominal,nêhiyawîhcikêwin
NI-religious,pâstâhowi-mihko
NI-body-part,yîkicihcân
NI-animal-product,mâskâwikan2
NI-alter,sisowahikan
NI-place,yîkihtawamow
NI-natural-force,môhkiciwanipêk
NI-object,maskawêkin
NI-natural-force,otêskimin
NI-nature-plants,iskwâhtêmâhtik
NI-hunt-trap,wanihikan
NI-nominal,nêhiyaw-masinîwin
NI-religious,macipakwa
NI-body-part,kîskicihcân
NI-animal-product,mâskicihciy
NI-alter,sisopêkahikanâhtik
NI-place,wâsakâmêsimowikamik
NI-natural-force,atâmipêk
NI-object,ayânis
NI-natural-force,maskomin
NI-nature-plants,minihkwâcikanis
NI-hunt-trap,tâpakwânêyâpiy
NI-nominal,nêhiyawi-kiskinwahamâtowin
NI-religious,nêhiyawi-wîhtamawâkan
NI-body-part,wâpikwayâs
NI-animal-product,âhkosiwinis
NI-alter,masinipêhikanâhtik
NI-place,kihci-mêskanaw
NI-natural-force,sîkawâciwasikan
NI-object,masinahikanêkinos
NI-natural-force,cikâsipakwa
NI-nature-plants,iskwâhtêmahokan
NI-hunt-trap,kwâskwêpicikanêyâpiy
NI-nominal,nêhiyawi-wîhowin
NI-religious,kaskîhkocikan
NI-body-part,astisêwakwa
NI-animal-product,watow
NI-alter,ahpinêkin
NI-place,âsowahonân
NI-natural-force,akwâkopiy
NI-object,mâyatihkopîway
NI-natural-force,acikâsipakwa
NI-nature-plants,kâskipâson
NI-hunt-trap,asohikan
NI-nominal,nêhiyawêmototamowin
NI-religious,wîskwêpitâkan
NI-body-part,nîsokâcis
NI-animal-product,mîsîwêyâpiy
NI-alter,masinahikêwâpiskos
NI-place,pimitamon
NI-natural-force,kisâkamitêwâpoy
NI-object,anâskân
NI-natural-force,mistaskosîminâna
NI-nature-plants,mistikwaskihkwâhtik
NI-hunt-trap,kwâskwêpicikan
NI-nominal,nêhiyaw-itwêwin
NI-religious,manitowayân
