câpân!  -câpân- ;; -ocâpân-
nimosômipan  -mosômipan-
nimosô! 
nimwâhkohkêw  -mwâhkohkêw-
ninahâhkaniskwêm  -nahâhkaniskwêm-
ninahâhkim  -nahâhkim-
ninahâhkisîm  -nahâhkisîm-
ninâpêm  -nâpêm-
ninipîm  -nipîm-
ninîkânîm  -nîkânîm-
ninîkihik  -nîkihikw-
ninôtokwêm  -nôtokwêm-
nipawâkan  -pawâkan-
nipâpâ  -pâpâ-
nipê-wîci-ispîhcisîmâkan  -pê-wîci-ispîhcisîmâkan-
nipêminak  -pêminak(w)-
nipêpîm  -pêpîm-
nipêyakokosisân  -pêyakokosisân-
nipîhtawâwikanân  -pîhtawâwikanân-
nipwâm  -pwâm-
nipwâmikan  -pwâmikan-
niscikwânis  -scikwânis-
nisêkipatwân  -sêkipatwân-
nisêkitikom  -sêkitikom-
nisicis  -sicis-
nisikos  -sikos-
nisikosê!  -sikos-
nisikwâkan  -sikwâkan-
nisis  -sis-
nisisê!  -sis-
nisit  -sit-
nisîm  -sîm-
nisîmê!  -sîm-
nisîmis  -sîmis-
niskan  -skan-
niskâhtik  -skâhtikw-
niskâhtikwanikan  -skâhtikwanikan-
niskât  -skât
niskâtikan  -skâtikan-
niskiwan  -skiwan-
niskiwanikan  -skiwanikan-
niskîsik  niskîsikw-
niskîsikohkâna  -skîsikohkân-
niskîsikos  niskîsikos-
niskîsikwâpitân  -skîsikwâpitân-
niskocâkâs  -skocâkâs-
niskon  -skon-
niskotâkay  -skotâkay-
nisoy  -soy-
nisôkan  -sôkan-
nisôs  -sôs-
nispayowak  -spayow-
nispiconis  -spiconis-
nispikay  -spikay
nispikêkan  -spikêkan-
nispiskwan  -spiskwan-
nispiton  -spiton-
nistês  -stês-
nistêsê!  -stês-
nistikwân  -stikwân-
nistikwânaskatihkway  -stikwânaskatihkway-
nistikwânikan  -stikwânikan-
nistim  -stim-
nistimihkâwin  -stimihkâwin-
nitakay  -takay-
nitakikom  -takikom-
nitakisiya  -takisiy-
nitapiskohkêw  -tapiskohkêw-
nitasiskitân  -(t)asiskitân-
nitaskihkom  -(t)askihkom-
nitawâsimis  -(t)awâsimis-
nitawêmâw  -tawêmâw-
nitawêmâ!  -tawêmâw-
nitayân  -(t)ayân-
nitaýisiýinîm  -(t)aýisiýinîm-
nitâkay  -tâkay-
nitânis  -tânis-
nitâniskocâpân  -(t)âniskocâpân-
nitâniskocâpânis  -(t)âniskocâpânis-
nitâniskotâpân  -(t)âniskotâpân-
nitân!  -tânis-
nitâpân  -tâpân-
nitâpiskan  -tâpiskan-
nitâs  -tâs-
nitâs  -tâs-
nitâyim  -tâyim-
nitêh  -têh-
nitêm  -têm-
nitêýaniy  -têýaniy-
nitêýaniyâpiy  -têýaniyâpiy-
nitêýikom  -têýikom-
nitihkom  -(t)ihkom-
nitihkwatim  -tihkwatim-
nitihkwâ!  -tihkwatim-
nitihtâwâw  -tihtâwâw-
nitihtihkos  -tihtihkos-
nitihtihkosiw  -tihtihkosiw-
nitihtihkosiy  -tihtihkosiy-
nitihtikon  -tihtikon-
nitihtiman  -tihtiman-
nitihtimanikan  -tihtimanikan-
nitisiy  -tisiy-
nitisiyêyâpiy  -tisiyêyâpiy-
nitiskwêm  -(t)iskwêm-
nitisowayak  -tisoway-
nitiy  -tiy-
nitiýinîmak  -(t)iýinîm-
nitîhikan  -tîhikan-
nitîhiy  -tîhiy-
nitîhkôkan  nitîhkôkan-
nitohtôsim  -tohtôsim-
nitokan  -tokan-
nitostikwânim  -(t)ostikwânim-
nitôkimâm  -(t)ôkimâm-
nitôkimâskwêm  -(t)ôkimâskwêm-
nitôn  -tôn-
nitôsim  -(t)ôsim-
nitôsim  -tôsim-
nitôsimiskwêm  -tôsimiskwêm-
nitôsis  -tôsis-
nitôsk-âyim  -(t)ôsk-âyim-
nitôskinîkiskwêm  -(t)ôskinîkiskwêm
nitôskinîkîm  -(t)ôskinîkîm
nitôskinîkîmis  -(t)ôskinîkîmis-
nitôskwan  -tôskwan-
nitôt  -tôt-
nitôtêm  -tôtêm-
niwâhkômâkan  -wâhkômâkan-
niwiýihkosak  -wiýihkos-
niwiýihkwak  -wiýihkw-
niwîcêwâkan  -wîcêwâkan-
niwîcêwâkanis  -wîcêwâkanis-
niwîkimâkan  -wîkimâkan-
niwîtatoskêmâkan  -wîtatoskêmâkan-
niyaw  -iyaw-
niýihkos  -iýihkos-
niýihkwak  -iýihkw-
nîc-âyis  -îc-âyis-
nîci-atoskêyâkan  -îci-atoskêyâkan-
nîci-ayis  -îci-ayis-
nîci-aýisiýiniw  -îci-aýisiýiniw-
nîci-aýisiýinîm  -îci-aýisiýinîm-
nîci-kisêýiniw  -îci-kisêýiniw-
nîci-kisêýin!  -îci-kisêýin-
nîci-kiskinwahamawâkan  -îci-kiskinwahamawâkan-
nîci-kîhkâw-  -îci-kîhkâw-
nîci-nahâhkis  -îci-nahâhkis-
nîci-nâpêw  -îci-nâpêw-
nîci-nêhiýaw  -îci-nêhiýaw-
nîci-nônimâkan  -îci-nônimâkan-
nîcimos  -îcimos-
nîcisân  -îcisân-
nîcisânis  -îcisânis-
nîki  -îk-
nîkis  -îkis-
nîni  -în-
nîpicikan  -îpicikan-
nîpit  -îpit-
nîpitihkâna  -îpitihkân-
nîscâs  -îscâs-
nîskwa  -îskw-
nîstâw  -îstâw-
nîtihp  -îtihp-
nîtim  -îtimw-
nîtisân  -îtisân-
nîwa  -îw-
nîwahikan  -îwahikan-
nîwas  -îwat-
nôhcâwîs  -ohcâwîs-
nôhkom  -ohkom-
nôhkomipan  -ohkomipan-
nôhkomis  -ohkomis-
nôhkô!  -ohkom-
nôhpan  -ohpan-
nôhtâwiy  -ohtâwiy-
nôhtâwîhkâwin  -ohtâwîhkâwin-
nôhtâwîpan  -ohtâwîpan-
nôhtâ!  -ohtâ-
nôsisê!  -ôsis-
nôsisim  -ôsisim-
ohpan  -ohpan-
osoy  -soy-
osôs  -sôs-
otahtahkwan  -tahtahkwan-
otitâmiyawa  -(t)itâmiyaw-
wiyaw  -iyaw-
wiýihkosa  -iýihkos-
wîni  -în-
wîwa  -îw-
